Date;Vazao
1979-1;3191
1979-2;4071
1979-3;1924
1979-4;1226
1979-5;745
1979-6;586
1979-7;447
1979-8;356
1979-9;361
1979-10;332
1979-11;524
1979-12;602
1980-1;2698
1980-2;6163
1980-3;2568
1980-4;1634
1980-5;877
1980-6;623
1980-7;489
1980-8;382
1980-9;375
1980-10;358
1980-11;656
1980-12;1541
1981-1;1946
1981-2;1069
1981-3;1475
1981-4;1555
1981-5;803
1981-6;611
1981-7;463
1981-8;365
1981-9;293
1981-10;519
1981-11;1168
1981-12;892
1982-1;3330
1982-2;1900
1982-3;1878
1982-4;1288
1982-5;851
1982-6;648
1982-7;523
1982-8;428
1982-9;396
1982-10;472
1982-11;497
1982-12;569
1983-1;1726
1983-2;4278
1983-3;1908
1983-4;1488
1983-5;870
1983-6;629
1983-7;471
1983-8;372
1983-9;337
1983-10;419
1983-11;651
1983-12;1412
1984-1;1028
1984-2;718
1984-3;897
1984-4;1008
1984-5;531
1984-6;383
1984-7;299
1984-8;250
1984-9;268
1984-10;378
1984-11;354
1984-12;505
1985-1;2695
1985-2;2126
1985-3;1527
1985-4;1263
1985-5;717
1985-6;527
1985-7;413
1985-8;325
1985-9;270
1985-10;378
1985-11;507
1985-12;1539
1986-1;1886
1986-2;1507
1986-3;1112
1986-4;714
1986-5;532
1986-6;393
1986-7;316
1986-8;281
1986-9;232
1986-10;297
1986-11;314
1986-12;505
1987-1;696
1987-2;611
1987-3;996
1987-4;710
1987-5;462
1987-6;317
1987-7;232
1987-8;180
1987-9;165
1987-10;238
1987-11;458
1987-12;1260
1988-1;978
1988-2;1304
1988-3;1982
1988-4;1053
1988-5;606
1988-6;474
1988-7;345
1988-8;268
1988-9;219
1988-10;351
1988-11;469
1988-12;874
1989-1;928
1989-2;833
1989-3;725
1989-4;514
1989-5;377
1989-6;279
1989-7;227
1989-8;198
1989-9;207
1989-10;282
1989-11;624
1989-12;3823
1990-1;2322
1990-2;1392
1990-3;1285
1990-4;878
1990-5;658
1990-6;467
1990-7;387
1990-8;298
1990-9;330
1990-10;335
1990-11;393
1990-12;480
1991-1;1039
1991-2;1161
1991-3;1724
1991-4;1499
1991-5;690
1991-6;481
1991-7;362
1991-8;281
1991-9;248
1991-10;295
1991-11;408
1991-12;604
1992-1;1458
1992-2;3235
1992-3;1363
1992-4;1198
1992-5;716
1992-6;514
1992-7;401
1992-8;318
1992-9;325
1992-10;488
1992-11;947
1992-12;2153
1993-1;1494
1993-2;1705
1993-3;1131
1993-4;784
1993-5;547
1993-6;417
1993-7;323
1993-8;274
1993-9;267
1993-10;299
1993-11;273
1993-12;848
1994-1;1228
1994-2;949
1994-3;2157
1994-4;1233
1994-5;636
1994-6;482
1994-7;380
1994-8;288
1994-9;224
1994-10;233
1994-11;437
1994-12;759
1995-1;1049
1995-2;1431
1995-3;991
